kalimat_id,kata,sense,kalimat,freq
1000113,mengandung,2301,"Mengenai sendang bermata air tawar, penduduk setempat menamainya Sendang Mberan yang artinya ""sumbernya tidak diketahui"" sedangkan sendang dengan mata air mengandung belerang dinamakan Sendang Gong karena dulu pada jaman nenek moyang sumbernya ditutup dengan gong.",2
1000113,mengandung,2301,"Mengenai sendang bermata air tawar, penduduk setempat menamainya Sendang Mberan yang artinya 'sumbernya tidak diketahui' sedangkan sendang dengan mata air mengandung belerang dinamakan Sendang Gong karena dulu pada jaman nenek moyang sumbernya ditutup dengan gong.",1
1000354,mengandung,2301,"Osmofili ragi adalah salah satu organisme yang menyebabkan pembusukan pada berbagai hasil olahan dari industri gula dan makanan yang mengandung zat manis, misalnya produk-produk seperti jus buah, jus buah konsentrat, gula cair (seperti sirup), madu dan dalam beberapa kasus terjadi pada marzipan.",2
1000354,mengandung,2301,Osmofili ragi adalah salah satu organisme yang menyebabkan pembusukan pada berbagai hasil olahan dari industri gula dan makanan yang mengandung zat manis.,1
1000621,mengandung,2301,"Dia bertemu dengan Jill di bandara, meninggalkan Jakarta bersama dengan Jill yang kini sedang hamil mengandung anak mereka, dan terbang ke Eropa.",1
1000621,mengandung,2302,"Dia bertemu dengan Jill di bandara, meninggalkan Jakarta bersama dengan Jill yang kini sedang hamil mengandung anak mereka, dan terbang ke Eropa.",2
1001117,mengejar,2801,"Mr. Frank Churchill, putra Mr. Weston dari pernikahan terdahulunya, adalah seorang pemuda yang ramah, yang diatur untuk disukai semua orang kecuali Mr. Knightley, yang menganggap dia cukup dewasa, walaupun sebagian karena kecembuannya pada Frank karena mengejar Emma.",2
1001117,mengejar,2802,"Mr. Frank Churchill, putra Mr. Weston dari pernikahan terdahulunya, adalah seorang pemuda yang ramah, yang diatur untuk disukai semua orang kecuali Mr. Knightley, yang menganggap dia cukup dewasa, walaupun sebagian karena kecembuannya pada Frank karena mengejar Emma.",1
1001733,mengejar,2801,Hal itu adalah sebagai hukuman agar Orion selalu mengejar Peliades namun tidak akan dapat mendapatkannya dan selalu dikejar oleh kalajengking yakni zodiak Scorpio.,2
1001733,mengejar,2802,Hal itu adalah sebagai hukuman agar Orion selalu mengejar Peliades namun tidak akan dapat mendapatkannya dan selalu dikejar oleh kalajengking yakni zodiak Scorpio.,1
1001766,mengejar,2801,"Dia lulus dari Institut Dong-ah Media dan Seni, jurusan Applied Music.Dia mengikuti audisi di Woollim Entertainment untuk mengejar karier sebagai penyanyi solo, dan diterima di Woollim bersama 2 agensi lain, salah satunya menjadi YG Entertainment.",1
1001766,mengejar,2802,"Dia lulus dari Institut Dong-ah Media dan Seni, jurusan Applied Music.Dia mengikuti audisi di Woollim Entertainment untuk mengejar karier sebagai penyanyi solo, dan diterima di Woollim bersama 2 agensi lain, salah satunya menjadi YG Entertainment.",2
1002152,mengejar,2801,"Setelah beberapa waktu ia beralih ke Mumbai, untuk mengejar karier di bidang modeling.",1
1002152,mengejar,2802,"Setelah beberapa waktu ia beralih ke Mumbai, untuk mengejar karier di bidang modeling.",2
1002209,mengejar,2801,"Sokrates mengaku saat mereka membahas hal ini bahwa motifnya dalam membantah Kritias untuk memeriksa dirinya sendiri, bahwa dia mengejar argumen tersebut untuk kepentingannya sendiri (166c, d).",1
1002209,mengejar,2802,"Sokrates mengaku saat mereka membahas hal ini bahwa motifnya dalam membantah Kritias untuk memeriksa dirinya sendiri, bahwa dia mengejar argumen tersebut untuk kepentingannya sendiri (166c, d).",2
1002271,mengejar,2802,"Menurut akun pertama, Toma pertama kali muncul pada tahun 803 bersama Vardanis Tourkos, dan mengejar karier militer sampai meluncurkan pemberontakannya pada akhir tahun 820.",1
1002271,mengejar,2802,"Menurut akun pertama, Toma pertama kali muncul pada tahun 803 bersama Vardanis Tourkos, dan mengejar karier militer sampai meluncurkan pemberontakannya pada akhir tahun 820.",1
1002271,mengejar,2802,"Menurut akun pertama, Tomaž pertama kali muncul pada tahun 803 bersama Vardanis Tourkos, dan mengejar karier militer sampai meluncurkan pemberontakannya pada akhir tahun 820.",1
