kalimat_id,kata,sense,kalimat
1000034,mengandung,2301,"Di Jepang, manga biasanya serial di majalah manga besar, sering mengandung banyak cerita, masing-masing disajikan dalam satu episode kemudian dilanjutkan dalam edisi berikutnya."
1000129,mengandung,2301,"Surah ini dinamai Maryam, karena surat ini mengandung kisah Maryam (atau Maria dalam agama Kristen), ibu dari Nabi Isa AS."
1000476,mengandung,2301,"Rebusan seperti Waterzooi atau Hachee, rebusan dari bawang bombay, daging sapi dan kuah daging yang kental, mengandung banyak rasa dan membutuhkan beberapa jam untuk disajikan."
1000486,mengandung,2301,Permukaan daun mengandung lapisan lilin sehingga air yang jatuh ke permukaan daun membentuk butiran air.
1000511,mengandung,2301,"Pemicu yang paling umum antara lain alergen, rokok (tembakau dan lainnya), polusi udara,penghambat beta non selektif, dan makanan yang mengandung sulfit."
1000812,mengandung,2302,"Ketika Hagar mengandung anak Abram, ia menjadi sombong dan merendahkan Sarai."
1001105,mengejar,2801,Pasukan Awang tak mampu mengejar dan mengira Purnama telah tewas.
1001112,mengejar,2801,"Konflik pusat didasarkan pada pengalaman mantan polisi Chicago Chuck Adamson dan mengejar pada tahun 1960-an dari kriminal bernama McCauley, setelah siapa karakter De Niro dinamai."
1001164,mengejar,2801,"Srikandi berjanji akan mempertemukan Prabakusuma dengan Arjuna, namun ia harus mau membantunya mengejar sekaligus menangkap pencuri ""Jamus Kalimasada""."
1001333,mengejar,2802,Hill terdaftar di Columbia University di 1993 dan aktif selama hampir satu tahun penuh sebelum keluar untuk mengejar karier dunia hiburan.
1001347,mengejar,2802,"Ditengah kesulitan itu, Dahlan harus berjuang untuk menjaga adiknya dan mengejar mimpinya."
1001696,mengejar,2801,Video tersebut menampilkan klip dari seorang anak laki-laki yang sedang bermain bola basket dan kemudian mengejar kupu-kupu.
1002333,mengejar,2801,"Miller mengejar Wild Dog, dan akhirnya berakhir pada sebuah jembatan di luar kastil."
1002554,mengejar,2801,"Kemudian mereka berdua menyedot gas siphon dari mobil polisi lalu mengejar Cody bersaudara yang melaju setelah penjual hardware, dan juga menemui seorang montir yang tidak kooperatif yang ingin memeras US$ 500 dari mereka untuk menambal radiator mereka."
1002585,mengejar,2801,"Agen Winstead dan Hurt (Don Frye) berlari mengejar Dillinger dan Hamilton di tengah pepohonan, dan turut dalam baku tembak itu."
1002705,mengejar,2801,"Pada tanggal 12 November, tentara Amerika sudah berhasil mengejar dan membunuhi semua tentara Jepang yang tersisa di kantong-kantong perlawanan."
1002835,mengejar,2801,"Hampir saja tertinggal dari saingan beratnya seperti Serbia, Georgia, tuan rumah Belarusia, dan Rusia, Armenia terus mengejar voting hingga pada suatu saat, skornya sama dengan Georgia."
1002905,mengejar,2801,Farrel dan Bram berusaha mengejar Mischa.
1003239,mengeluarkan,2902,"Karena pada waktu itu belum terjadi pemisahan administratif, maka Gubernur jenderal mengeluarkan surat keputusan khusus untuk membatalkan peraturan Am Gereja protestan sejauh menyangkut Minahasa."
1003602,mengeluarkan,2902,Pada tanggal 23 Maret 1946 tentara Sekutu kembali mengeluarkan ultimatum ke-2.
1003912,mengeluarkan,2902,"Pada bulan Mei, 1946, Project Rand mengeluarkan desain preliminari untuk experimen wahana angkasa untuk mengedari dunia, yang menyatakan bahwa, ""sebuah kendaraan satelit yang berisi instrumentasi yang tepat bisa diharapkan menjadi alat ilmu yang canggih untuk abad ke duapuluh""."
1004296,mengeluarkan,2902,The Misfits menerima tawaran itu dan memutuskan untuk mengerjakan kembali rekaman mereka sebelum Slash Records mengeluarkan album mereka.
1004440,mengeluarkan,2901,"Jika kita ingin mengeluarkan kartu kita harus menggunakan mana sesuai yang tertera di pojok kiri atas kartu, misalnya tertera 5 maka kita harus mengorbankan 5 mana."
1004753,mengeluarkan,2902,"Akhirnya, Gubernur DKI Jakarta, Bapak Wiyogo Atmodarminto, mengeluarkan surat Izin Pendahuluan Pembangunan Gereja bernomor 612/1.857.1 tertanggal 27 Januari 1987."
1004898,mengeluarkan,2902,Ia telah mengeluarkan puluhan album rohani.
1004921,mengeluarkan,2902,"Pengadilan Korea Selatan menerima klaim mereka, dan keputusan mendorong Komisi Perdagangan yang Adil negara untuk mengeluarkan ""model kontrak"" untuk memperbaiki situasi boyband."
1005109,mengeluarkan,2902,"Tak lama setelah itu, kaisar mengeluarkan sebuah edik anti-Katolik yang menyebabkan penganiayaan terjadi."
1005298,mengeluarkan,2902,"Asosiasi Islam China mengeluarkan ""pesan kepada semua Muslim di China dari Asosiasi Islam China untuk Keselamatan Nasional"" selama bulan Ramadhan 1940."
1005471,mengeluarkan,2905,"Ingin mendengar suara Jun lebih banyak, Takumi mengizinkan Jun untuk mengeluarkan semua kemarahan dan rasa frustasinya hingga Jun merasa puas."
1005946,mengeluarkan,2902,"Setelah kesuksesan permainan ""Nobunaga`s Ambition"" yang menggunakan latar belakang sejarah Jepang pada tahun 1983, KOEI mengeluarkan beberapa permainan lagi yang berhubungan dengan sejarah mulai dari Romance of Three Kingdom yang berlatar belakang sejarah Tiongkok, Suikoden yang juga dari sejarah Tiongkok, dan Uncharted Waters yang bersetting di Portugal."
1006024,mengeluarkan,2906,Dupa mengeluarkan asap ketika dibakar.
1006074,mengeluarkan,2902,"Henry Yule mengeluarkan beberapa penjelasan tentang nama negosiator Bizantium ""Yenyo"" (yakni bangsawan John Pitzigaudes) yang disebut dalam sumber-sumber Tiongkok, seorang duta yang tidak disebutkan namanya dalam catatan Edward Gibbon tentang seorang pria yang dikirim ke Damaskus untuk memberi sebuah bingkisan kepada Umayyah, setelah beberapa tahun kemudian meningkatkan tuntutan upati terhadap Bizantium."
