kalimat_id,kata,sense,kalimat
1000527,mengandung,2301,"Secara anatomi, hidung adalah penonjolan pada vertebrata yang mengandung nostril, yang menyaring udara untuk pernapasan."
1000651,mengandung,2301,"Mandi air yang mengandung belerang, untuk pengobatan penyakit kulit."
1000770,mengandung,2301,"Dengan terikatnya klathrin, membrane sel membentuk vesikel yang mengandung molekul ligan."
1001199,mengejar,2802,"Dalam menapaki karier di gedung parlemen, Totok tidak memiliki ambisi politik untuk mengejar karier puncak."
1001330,mengejar,2802,Ini juga memberi EMC pengalaman dan wawasan masa depan untuk mengejar tujuan utama: layanan kereta barang.
1001386,mengejar,2802,"Setelah menginjak usia 17 tahun, Bagas memutuskan untuk fokus mengejar impian dan mencari jalan agar bisa menjadi musisi sukses."
1001455,mengejar,2801,"Ia dikejar oleh Harry, Ron, dan Hermione, yang berpikir bahwa mereka sedang mengejar Snape."
1001469,mengejar,2802,Program senjata kimia Mesir adalah yang paling maju mengejar untuk mengembangkan senjata pemusnah massal meskipun diperkirakan ini mencapai puncaknya pada tahun 1960-an.
1001582,mengejar,2801,Pasukan VOC sendiri hanya mengejar pasukan Mataram sampai wilayah Jatinegara.
1001682,mengejar,2801,Tanpa membuang waktu Guwarsa dan Guwarsi pun mengejar kemana cupu itu pergi.
1001699,mengejar,2801,"Di Amerika Utara, Basenji dianggap sebagai anjing ras ""sighthound"" yang mengejar dan menyerang segala mangsa secara diam-diam."
1001752,mengejar,2802,"Mereka berpendapat pekerjaan perancangan berada di dalam lingkup kegiatan profesional (konsultan), yang mencakupi tanggung jawab moral dan kehormatan perorangan yang terlibat, karena itu tidak semata-mata berorientasi sebagai usaha yang mengejar laba (""profit oriented"")."
1001801,mengejar,2801,"Menyadari ancaman dari Imhotep, mereka pun kembali ke Kairo, namun Imhotep berhasil mengejar mereka."
1001863,mengejar,2802,"Namun, pada Januari 2012, Wentz mengumumkan bahwa Rexha meninggalkan band untuk mengejar usaha lain."
1001900,mengejar,2802,"Lee menyebutkan bahwa jika dia tidak mengejar karier di bidang musik, dia akan memasuki bidang di mana ia bisa membantu orang, terutama anak-anak disiksa."
1001923,mengejar,2802,"Deklarasi ""menekankan hak-hak masyarakat adat untuk memelihara dan memperkuat institusi, budaya dan tradisi mereka sendiri, dan untuk mengejar perkembangan mereka sesuai dengan kebutuhan dan aspirasi mereka sendiri."""
1002091,mengejar,2801,Moldavia mengejar unta untuk uang.
1002169,mengejar,2801,"Harry mengejar di atas sapunya, menangkap Remembrall diatas tanah."
1002365,mengejar,2801,"Kemudian pihak Stunticons mencuri mobil tersebut, dan menendang secara paksa Cahnay, tak lama berselang, Cahnay akhirnya memilih untuk mengemudikan Bluestreak demi mengejar mobilnya yang hilang."
1002692,mengejar,2801,Sangkuriang menyuruh si Tumang untuk mengejar babi hutan yang ternyata adalah Celeng Wayung Hyang.
1002916,mengejar,2801,"Namun, di Cynoscephalae dan Magnesia, kegagalan mempertahankan kedua sayap dari Phalanx menyebabkan kekalahan, sementara di Pydna, hilangnya kerapatan barisan Phalanx ketika mengejar tentara Romawi yang mundur memungkinkan Roma untuk menembus formasi, di mana keterampilan tarung jarak dekat Romawi terbukti menentukan."
1003018,mengejar,2801,"Tetapi kemudian, Firaun mengejar Bani Israel ini dengan kereta hingga ke Laut Merah."
1003170,mengejar,2801,"Ia juga harus keluar lapangan sebelum akhir babak pertama karena cedera, dan kemudian tuan rumah datang mengejar dengan hasil akhir 2-2."
1003184,mengejar,2802,"Tsunku menambahkan ia ""ingin melihat mereka mengejar mimpi baru"" dan meminta dukungan untuk seluruh sisa waktu mereka."
1003536,mengeluarkan,2902,"Produsen mengeluarkan ponsel ini dengan dua warna, yakni hitam dan putih."
