kalimat_id,kata,sense,kalimat,freq
1001238,mengejar,2801,"Dia berencana pulang ke Amerika Serikat, namun dalam volume 42, dia bertemu dengan Vermouth, setelah perlawanan oleh Conan, dia (Vermouth) berjanji tidak akan mengejar Sherry lagi.",1
1001238,mengejar,2802,"Dia berencana pulang ke Amerika Serikat, namun dalam volume 42, dia bertemu dengan Vermouth, setelah perlawanan oleh Conan, dia (Vermouth) berjanji tidak akan mengejar Sherry lagi.",1
1001448,mengejar,2801,"Meskipun mekanisme ini mampu memicu produksi nasional, ketidakpuasan tetap muncul karena film yang dibuat dengan cara ini hanya mengejar kewajiban dan jumlah sehingga mutunya diragukan.",1
1001448,mengejar,2802,"Meskipun mekanisme ini mampu memicu produksi nasional, ketidakpuasan tetap muncul karena film yang dibuat dengan cara ini hanya mengejar kewajiban dan jumlah sehingga mutunya diragukan.",1
1001820,mengejar,2801,"Sebagai ganti kaum Melayu melepaskan ketuanan Melayunya, warga Melayu akan dibantu untuk mengejar ketertinggalan ekonominya.",1
1001820,mengejar,2802,"Sebagai ganti kaum Melayu melepaskan ketuanan Melayunya, warga Melayu akan dibantu untuk mengejar ketertinggalan ekonominya.",1
1001888,mengejar,2801,"Pada bulan April 2014, Deezer mengumumkan bahwa CEO saat ini, Dauchez, akan meninggalkan perusahaan pada bulan September, ""untuk mengejar peluang profesional yang baru"".",1
1001888,mengejar,2802,"Pada bulan April 2014, Deezer mengumumkan bahwa CEO saat ini, Dauchez, akan meninggalkan perusahaan pada bulan September, ""untuk mengejar peluang profesional yang baru"".",1
1001962,mengejar,2801,Polisi lalu lintas mengejar pengendara motor yang tidak memakai helm di tengah kemacetan.,1
1001962,mengejar,2802,"Toufik Boushaki adalah penduduk asli di Aljazair, di mana ia mengejar studi dasar di Provinsi Boumerdes sebelum bergabung dengan pada tahun 1994 untuk kursus teknologi.",1
1001987,mengejar,2801,"Marah, Uraki mengambil Unit Orchis-nya dan menghancurkan Armada Cima sebelum mengejar koloni yang jatuh.",1
1001987,mengejar,2802,"Marah, Uraki mengambil Unit Orchis-nya dan menghancurkan Armada Cima sebelum mengejar koloni yang jatuh.",1
1002386,mengejar,2801,"Dalam teror yang terus merebak, hati Tasya lebih hancur lagi karena sebenarnya dia sangat mencintai Arya, tetapi malahan Arya mengejar Tracy.",1
1002386,mengejar,2802,"Dalam teror yang terus merebak, hati Tasya lebih hancur lagi karena sebenarnya dia sangat mencintai Arya, tetapi malahan Arya mengejar Tracy.",1
1002645,mengejar,2801,Desain pertanian terfokus untuk mengejar swasembada beras.,1
1002645,mengejar,2802,Desain pertanian terfokus untuk mengejar swasembada beras.,1
1002901,mengejar,2801,"Disisi lain, David (Fauzy Baadillah) yang pernah dicampakkan Nadia, masih terus mengejar Nadya dengan segala cara.",1
1002901,mengejar,2802,"Disisi lain, David (Fauzy Baadillah) yang pernah dicampakkan Nadia, masih terus mengejar Nadya dengan segala cara.",1
1004734,mengeluarkan,2902,"Ghaitsa juga mengeluarkan debut singelnya yang berjudul ""Matahariku"".",1
1004734,mengeluarkan,2902,Ghaitsa juga mengeluarkan debut singelnya yang berjudul Matahariku.,1
1008265,mengeluarkan,2902,"Ini mengeluarkan terjadinya sebuah antidot yang dapat melawan racun yang diproduksi oleh binatang-binatang seperti ular, laba-laba, dan binatang beracun lainnya.",1
1008265,mengeluarkan,2906,"Ini mengeluarkan terjadinya sebuah antidot yang dapat melawan racun yang diproduksi oleh binatang-binatang seperti ular, laba-laba, dan binatang beracun lainnya.",1
1008910,mengeluarkan,2902,"Wakil Presiden RI, Jusuf Kalla, juga mengeluarkan pernyataan serupa yang mengedepankan AMDAL yang sesuai dengan kepentingan masyarakat.",1
1008910,mengeluarkan,2905,"Wakil Presiden RI, Jusuf Kalla, juga mengeluarkan pernyataan serupa yang mengedepankan AMDAL yang sesuai dengan kepentingan masyarakat.",1
1009398,mengeluarkan,2902,"Barrett M99 (Barrett Model 99, mempunyai julukan ""Big Shot"") adalah senapan runduk single-shot (amunisi dimasukan ke ruang tembak satu persatu, setelah satu tembakan, selongsong akan keluar dan amunisi baru dimasukan kembali secara manual menggunakan bolt) bullpup menggunakan amunisi .50 BMG (12,7 x 99 mm) dan .416 Barrett buatan Barrett Firearms Company.",1
1009398,mengeluarkan,2902,"Barrett M99 (Barrett Model 99, mempunyai julukan ""Big Shot"") adalah senapan runduk single-shot (amunisi dimasukan ke ruang tembak satu persatu, setelah satu tembakan, selongsong akan keluar dan amunisi baru dimasukan kembali secara manual menggunakan bolt) bullpup menggunakan amunisi .50 BMG (12,7 x 99 mm) dan .416 Barrett buatan Barrett Firearms Company.. Senapan ini dirancang setelah Barret mengeluarkan purwarupa M98.",1
1009449,mengeluarkan,2902,"Pada tanggal 12 Desember 1945, Markas Tertinggi TKR mengeluarkan pengumuman yang menyatakan dibentuknya bagian penerbangan sebagai bagian dari Markas Besar Umum.",1
1009449,mengeluarkan,2905,"Pada tanggal 12 Desember 1945, Markas Tertinggi TKR mengeluarkan pengumuman yang menyatakan dibentuknya bagian penerbangan sebagai bagian dari Markas Besar Umum.",1
1009766,mengikat,2202,Portland bermain melawan Sporting Kansas City di babak playoff MLS yang berlanjut ke adu penalti setelah Kevin Ellis mencetak gol mengikat akhir di menit akhir peraturan yang berakhir di 1–1.,1
1009766,mengikat,2202,Portland bermain melawan Sporting Kansas City di babak playoff MLS yang berlanjut ke adu penalti setelah Kevin Ellis mencetak gol mengikat akhir di menit akhir peraturan yang berakhir di 11.,1
